Designator,Mid X,Mid Y,Rotation,Layer
D1,35.5,-31.69,90.0,top
D10,60.5,-27.69,90.0,top
D11,79.5,-27.69,90.0,top
D12,98.5,-27.69,90.0,top
D13,46.0,-25.69,90.0,top
D14,64.0,-25.69,90.0,top
D15,83.0,-25.69,90.0,top
D16,102.0,-25.69,90.0,top
D2,53.5,-31.69,90.0,top
D3,72.5,-31.69,90.0,top
D4,91.5,-31.69,90.0,top
D5,39.0,-29.69,90.0,top
D6,57.0,-29.69,90.0,top
D7,76.0,-29.69,90.0,top
D8,95.0,-29.69,90.0,top
D9,42.5,-27.69,90.0,top
SW1,41.435,-46.305,0.0,top
SW10,60.46,-82.24,0.0,top
SW11,79.46,-82.24,0.0,top
SW12,98.46,-82.24,0.0,top
SW13,41.46,-101.24,0.0,top
SW14,60.46,-101.24,0.0,top
SW15,79.46,-101.24,0.0,top
SW16,98.46,-101.24,0.0,top
SW2,60.46,-44.24,0.0,top
SW3,79.46,-44.24,0.0,top
SW4,98.46,-44.24,0.0,top
SW5,41.46,-63.24,0.0,top
SW6,60.46,-63.24,0.0,top
SW7,79.46,-63.24,0.0,top
SW8,98.46,-63.24,0.0,top
SW9,41.46,-82.24,0.0,top
U1,119.12,-28.96,0.0,top
